Episode,TotalReward
1,24.0
2,25.0
3,24.0
4,27.0
5,24.0
6,25.0
7,27.0
8,27.0
9,26.0
10,22.0
11,29.0
12,27.0
13,24.0
14,24.0
15,25.0
16,28.0
17,26.0
18,29.0
19,26.0
20,27.0
21,27.0
22,26.0
23,26.0
24,27.0
25,23.0
26,25.0
27,29.0
28,27.0
29,24.0
30,24.0
31,24.0
32,28.0
33,27.0
34,27.0
35,27.0
36,27.0
37,24.0
38,27.0
39,26.0
40,28.0
41,23.0
42,24.0
43,26.0
44,25.0
45,25.0
46,24.0
47,25.0
48,24.0
49,25.0
50,26.0
51,27.0
52,23.0
53,29.0
54,26.0
55,28.0
56,24.0
57,23.0
58,26.0
59,26.0
60,27.0
61,27.0
62,24.0
63,27.0
64,25.0
65,25.0
66,24.0
67,24.0
68,24.0
69,22.0
70,29.0
71,28.0
72,25.0
73,26.0
74,24.0
75,26.0
76,25.0
77,26.0
78,28.0
79,27.0
80,28.0
81,25.0
82,27.0
83,22.0
84,27.0
85,25.0
86,29.0
87,24.0
88,27.0
89,26.0
90,28.0
91,25.0
92,25.0
93,28.0
94,27.0
95,27.0
96,28.0
97,25.0
98,24.0
99,28.0
100,26.0
101,27.0
102,25.0
103,26.0
104,27.0
105,29.0
106,27.0
107,25.0
108,29.0
109,26.0
110,28.0
111,25.0
112,24.0
113,27.0
114,27.0
115,27.0
116,26.0
117,26.0
118,27.0
119,26.0
120,28.0
121,23.0
122,28.0
123,28.0
124,25.0
125,25.0
126,26.0
127,28.0
128,29.0
129,25.0
130,23.0
131,25.0
132,25.0
133,29.0
134,27.0
135,24.0
136,29.0
137,27.0
138,26.0
139,24.0
140,23.0
141,25.0
142,27.0
143,21.0
144,23.0
145,24.0
146,26.0
147,26.0
148,28.0
149,29.0
150,30.0
151,26.0
152,25.0
153,26.0
154,27.0
155,26.0
156,25.0
157,27.0
158,24.0
159,29.0
160,24.0
161,26.0
162,25.0
163,25.0
164,25.0
165,28.0
166,26.0
167,26.0
168,26.0
169,24.0
170,28.0
171,26.0
172,26.0
173,28.0
174,25.0
175,27.0
176,27.0
177,27.0
178,24.0
179,22.0
180,24.0
181,26.0
182,26.0
183,29.0
184,24.0
185,26.0
186,27.0
187,25.0
188,27.0
189,23.0
190,25.0
191,23.0
192,29.0
193,28.0
194,24.0
195,24.0
196,28.0
197,25.0
198,25.0
199,25.0
200,29.0
201,26.0
202,28.0
203,30.0
204,26.0
205,28.0
206,26.0
207,26.0
208,26.0
209,25.0
210,26.0
211,28.0
212,27.0
213,27.0
214,27.0
215,25.0
216,26.0
217,27.0
218,28.0
219,27.0
220,25.0
221,27.0
222,25.0
223,27.0
224,23.0
225,26.0
226,26.0
227,24.0
228,24.0
229,27.0
230,25.0
231,26.0
232,24.0
233,26.0
234,24.0
235,26.0
236,25.0
237,22.0
238,26.0
239,25.0
240,28.0
241,27.0
242,28.0
243,26.0
244,25.0
245,25.0
246,23.0
247,31.0
248,24.0
249,26.0
250,25.0
251,22.0
252,27.0
253,26.0
254,25.0
255,27.0
256,28.0
257,25.0
258,26.0
259,26.0
260,26.0
261,26.0
262,26.0
263,27.0
264,25.0
265,27.0
266,28.0
267,25.0
268,26.0
269,27.0
270,27.0
271,26.0
272,28.0
273,24.0
274,27.0
275,25.0
276,24.0
277,25.0
278,25.0
279,27.0
280,29.0
281,25.0
282,25.0
283,28.0
284,29.0
285,26.0
286,24.0
287,25.0
288,26.0
289,25.0
290,24.0
291,26.0
292,25.0
293,22.0
294,27.0
295,22.0
296,24.0
297,29.0
298,24.0
299,25.0
300,26.0
301,24.0
302,23.0
303,25.0
304,25.0
305,27.0
306,27.0
307,26.0
308,31.0
309,25.0
310,30.0
311,26.0
312,28.0
313,27.0
314,27.0
315,28.0
316,24.0
317,27.0
318,24.0
319,24.0
320,25.0
321,26.0
322,28.0
323,26.0
324,29.0
325,28.0
326,27.0
327,26.0
328,29.0
329,25.0
330,28.0
331,28.0
332,27.0
333,27.0
334,24.0
335,28.0
336,25.0
337,24.0
338,28.0
339,28.0
340,25.0
341,25.0
342,28.0
343,28.0
344,26.0
345,27.0
346,27.0
347,28.0
348,23.0
349,25.0
350,26.0
351,26.0
352,27.0
353,27.0
354,25.0
355,25.0
356,25.0
357,27.0
358,26.0
359,21.0
360,25.0
361,25.0
362,22.0
363,26.0
364,26.0
365,26.0
366,27.0
367,24.0
368,27.0
369,26.0
370,27.0
371,28.0
372,24.0
373,26.0
374,28.0
375,26.0
376,26.0
377,29.0
378,27.0
379,26.0
380,29.0
381,27.0
382,27.0
383,24.0
384,25.0
385,26.0
386,26.0
387,24.0
388,24.0
389,26.0
390,24.0
391,23.0
392,23.0
393,28.0
394,26.0
395,27.0
396,24.0
397,29.0
398,29.0
399,26.0
400,26.0
401,24.0
402,26.0
403,25.0
404,27.0
405,26.0
406,25.0
407,24.0
408,29.0
409,25.0
410,28.0
411,27.0
412,29.0
413,26.0
414,28.0
415,25.0
416,27.0
417,27.0
418,26.0
419,24.0
420,22.0
421,27.0
422,26.0
423,25.0
424,27.0
425,27.0
426,23.0
427,28.0
428,26.0
429,26.0
430,26.0
431,28.0
432,25.0
433,25.0
434,26.0
435,24.0
436,28.0
437,26.0
438,26.0
439,26.0
440,28.0
441,22.0
442,26.0
443,27.0
444,27.0
445,24.0
446,26.0
447,29.0
448,25.0
449,26.0
450,27.0
451,23.0
452,24.0
453,27.0
454,29.0
455,23.0
456,26.0
457,23.0
458,29.0
459,27.0
460,26.0
461,27.0
462,30.0
463,24.0
464,26.0
465,26.0
466,21.0
467,28.0
468,23.0
469,28.0
470,31.0
471,27.0
472,26.0
473,25.0
474,24.0
475,26.0
476,24.0
477,26.0
478,27.0
479,25.0
480,29.0
481,28.0
482,25.0
483,24.0
484,27.0
485,24.0
486,23.0
487,27.0
488,28.0
489,24.0
490,24.0
491,23.0
492,27.0
493,26.0
494,30.0
495,26.0
496,28.0
497,24.0
498,26.0
499,26.0
500,29.0
501,27.0
502,25.0
503,27.0
504,27.0
505,26.0
506,25.0
507,27.0
508,26.0
509,29.0
510,26.0
511,28.0
512,26.0
513,25.0
514,25.0
515,27.0
516,27.0
517,27.0
518,26.0
519,28.0
520,27.0
521,25.0
522,26.0
523,27.0
524,27.0
525,26.0
526,25.0
527,26.0
528,28.0
529,27.0
530,28.0
531,29.0
532,28.0
533,25.0
534,26.0
535,27.0
536,26.0
537,24.0
538,27.0
539,25.0
540,27.0
541,27.0
542,27.0
543,24.0
544,31.0
545,24.0
546,28.0
547,28.0
548,29.0
549,25.0
550,26.0
551,27.0
552,26.0
553,29.0
554,26.0
555,23.0
556,22.0
557,27.0
558,26.0
559,26.0
560,22.0
561,24.0
562,22.0
563,25.0
564,26.0
565,24.0
566,24.0
