episode,total_reward
1,58.0
2,50.0
3,62.0
4,54.0
5,75.0
6,58.0
7,70.0
8,58.0
9,57.0
10,49.0
11,65.0
12,73.0
13,63.0
14,78.0
15,68.0
16,64.0
17,70.0
18,78.0
19,77.0
20,59.0
21,64.0
22,50.0
23,76.0
24,74.0
25,74.0
26,77.0
27,70.0
28,80.0
29,74.0
30,72.0
31,72.0
32,65.0
33,39.0
34,62.0
35,54.0
36,59.0
37,56.0
38,58.0
39,71.0
40,71.0
41,59.0
42,55.0
43,44.0
44,72.0
45,70.0
46,72.0
47,54.0
48,65.0
49,71.0
50,75.0
51,48.0
52,56.0
53,50.0
54,64.0
55,64.0
56,52.0
57,79.0
58,73.0
59,59.0
60,79.0
61,68.0
62,60.0
63,65.0
64,73.0
65,56.0
66,56.0
67,54.0
68,92.0
69,82.0
70,51.0
71,57.0
72,58.0
73,69.0
74,59.0
75,48.0
76,66.0
77,54.0
78,85.0
79,76.0
80,49.0
81,62.0
82,71.0
83,72.0
84,54.0
85,76.0
86,67.0
87,79.0
88,42.0
89,70.0
90,66.0
91,51.0
92,73.0
93,70.0
94,52.0
95,61.0
96,75.0
97,70.0
98,78.0
99,65.0
100,57.0
101,61.0
102,78.0
103,56.0
104,69.0
105,75.0
106,72.0
107,62.0
108,54.0
109,51.0
110,74.0
111,52.0
112,66.0
113,63.0
114,58.0
115,62.0
116,74.0
117,56.0
118,65.0
119,63.0
120,44.0
121,65.0
122,74.0
123,54.0
124,43.0
125,72.0
126,79.0
127,72.0
128,69.0
129,61.0
130,66.0
131,68.0
132,71.0
133,70.0
134,69.0
135,58.0
136,76.0
137,63.0
138,74.0
139,72.0
140,51.0
141,63.0
142,45.0
143,55.0
144,62.0
145,69.0
146,39.0
147,53.0
148,55.0
149,77.0
150,66.0
151,75.0
152,79.0
153,52.0
154,53.0
155,72.0
156,61.0
157,77.0
158,52.0
159,57.0
160,37.0
161,59.0
162,64.0
163,55.0
164,77.0
165,55.0
166,54.0
167,68.0
168,65.0
169,71.0
170,59.0
171,71.0
172,54.0
173,72.0
174,66.0
175,51.0
176,58.0
177,78.0
178,56.0
179,63.0
180,54.0
181,60.0
182,61.0
183,82.0
184,79.0
185,45.0
186,66.0
187,77.0
188,55.0
189,77.0
190,70.0
191,71.0
192,59.0
193,59.0
194,56.0
195,61.0
196,76.0
197,52.0
198,44.0
199,70.0
200,55.0
201,75.0
202,69.0
203,60.0
204,58.0
205,75.0
206,69.0
207,72.0
208,63.0
209,61.0
210,56.0
211,75.0
212,77.0
213,76.0
214,54.0
215,69.0
216,63.0
217,71.0
218,62.0
219,58.0
220,68.0
221,56.0
222,58.0
223,58.0
224,55.0
225,71.0
226,53.0
227,66.0
228,33.0
229,68.0
230,67.0
231,48.0
232,74.0
233,57.0
234,49.0
235,90.0
236,51.0
237,77.0
238,69.0
239,58.0
240,67.0
241,71.0
242,55.0
243,77.0
244,64.0
245,69.0
246,52.0
247,69.0
248,58.0
249,50.0
250,71.0
251,72.0
252,63.0
253,74.0
254,73.0
255,60.0
256,57.0
257,74.0
258,53.0
259,58.0
260,54.0
261,59.0
262,76.0
263,64.0
264,71.0
265,63.0
266,76.0
267,70.0
268,62.0
269,47.0
270,57.0
271,63.0
272,70.0
273,65.0
274,54.0
275,38.0
276,62.0
277,67.0
278,64.0
279,56.0
280,55.0
281,51.0
282,76.0
283,55.0
284,73.0
285,74.0
286,71.0
287,59.0
288,76.0
289,55.0
290,70.0
291,58.0
292,71.0
293,74.0
294,75.0
295,67.0
296,64.0
297,48.0
