Episode,TotalReward
1,47.60
2,61.90
3,59.50
4,50.75
5,44.70
6,46.65
7,46.10
8,57.70
9,42.75
10,50.10
11,48.30
12,64.50
13,45.90
14,61.40
15,38.35
16,54.05
17,51.70
18,49.20
19,46.05
20,56.50
21,51.85
22,61.25
23,57.80
24,71.95
25,46.05
26,50.75
27,56.30
28,52.05
29,54.10
30,44.10
31,57.45
32,63.45
33,54.35
34,54.05
35,50.85
36,56.15
37,65.60
38,58.90
39,47.50
40,58.35
41,57.40
42,67.35
43,42.40
44,45.30
45,48.20
46,61.00
47,49.40
48,54.00
49,49.10
50,48.40
51,62.75
52,53.45
53,53.45
54,58.20
55,55.90
56,51.65
57,49.45
58,48.05
59,42.10
60,43.25
61,44.90
62,48.35
63,52.75
64,63.65
65,52.85
66,52.55
67,60.35
68,64.80
69,72.65
70,54.50
71,48.40
72,36.25
73,56.25
74,32.05
75,63.90
76,48.95
77,51.95
78,44.95
79,51.40
80,54.20
81,48.70
82,43.10
83,54.60
84,49.65
85,33.55
86,62.40
87,49.95
88,55.35
89,56.55
90,53.30
91,59.00
92,49.30
93,44.25
94,54.05
95,54.35
96,44.50
97,51.95
98,49.25
99,45.10
100,56.00
101,69.85
102,44.50
103,52.85
104,54.05
105,49.45
106,45.15
107,67.30
108,64.50
109,67.20
110,41.30
111,47.95
112,60.35
113,56.45
114,60.40
115,58.35
116,54.10
117,63.10
118,45.25
119,52.25
120,50.05
121,32.90
122,50.05
123,40.10
124,50.15
125,43.50
126,50.05
127,37.80
128,51.30
129,49.55
130,61.05
131,67.55
132,50.70
133,31.90
134,44.05
135,50.10
136,31.45
137,44.60
138,30.55
139,35.20
140,55.05
141,56.40
142,52.95
143,35.15
144,29.50
145,55.65
146,53.20
147,27.30
148,47.30
149,59.85
150,44.45
151,32.30
152,57.15
153,61.75
154,38.05
155,65.35
156,66.25
157,31.70
158,48.85
159,34.15
160,53.90
161,35.75
162,23.05
163,55.40
164,49.35
165,53.40
166,36.10
167,40.80
168,50.40
169,23.50
170,37.55
171,47.90
172,43.30
173,30.45
174,64.90
175,41.10
176,38.60
177,70.00
178,39.50
179,50.30
180,23.75
181,64.40
182,61.65
183,33.85
184,37.20
185,24.05
186,55.90
187,53.50
188,54.75
189,58.30
190,47.85
191,48.65
192,35.45
193,30.25
194,65.35
195,50.40
196,49.25
197,55.50
198,47.10
199,33.05
200,64.25
201,57.45
202,32.10
203,56.10
204,57.60
205,29.05
206,56.35
207,51.70
208,72.05
209,51.05
210,43.80
211,9.80
212,32.20
213,57.35
214,63.95
215,37.30
216,57.10
217,32.70
218,50.30
219,40.80
220,29.40
221,65.45
222,54.55
223,32.15
224,47.55
225,47.45
226,54.60
227,26.10
228,36.70
229,28.05
230,46.90
231,40.00
232,29.80
233,51.25
234,56.00
235,50.00
236,56.20
237,49.40
238,56.15
239,41.20
240,45.50
241,53.30
242,55.05
243,57.65
244,67.15
245,35.30
246,66.65
247,24.40
248,76.65
249,25.75
250,43.60
251,29.30
252,57.15
253,50.95
254,61.70
255,59.45
256,26.90
257,47.35
258,48.75
259,48.00
260,54.30
261,32.45
262,55.35
263,64.90
264,45.80
265,65.65
266,37.35
267,60.90
268,28.85
269,56.55
270,40.25
271,79.15
272,51.45
273,52.65
274,19.15
275,49.60
276,45.00
277,51.45
278,40.00
279,49.60
280,57.40
281,53.15
282,28.80
283,28.55
284,34.20
285,53.75
286,53.30
287,15.40
288,57.00
289,55.30
290,38.85
291,64.30
292,47.95
293,43.50
294,53.95
295,47.40
296,21.95
297,22.75
298,56.60
299,53.65
300,47.75
301,31.75
302,50.05
303,35.80
304,33.30
305,74.80
306,48.80
307,25.35
308,15.45
309,52.80
310,67.25
311,56.95
312,49.80
313,50.40
314,74.40
315,73.95
316,33.05
317,22.90
318,50.50
319,46.80
320,54.35
321,46.20
322,31.90
323,29.60
324,61.05
325,48.75
326,61.20
327,39.55
328,44.50
329,53.25
330,54.10
331,65.40
332,54.30
333,55.95
334,16.35
335,51.30
336,52.10
337,46.00
338,75.85
339,3.30
340,18.60
341,58.20
342,57.50
343,64.50
344,49.10
345,48.25
346,49.00
347,45.65
348,54.35
349,59.80
350,54.45
351,48.20
352,62.45
353,28.00
354,49.65
355,51.05
356,56.95
357,57.15
358,35.55
359,34.90
360,65.75
361,51.00
362,58.80
363,30.10
364,42.35
365,53.65
366,63.35
367,59.35
368,51.40
369,48.70
370,50.40
371,31.15
372,54.60
373,28.50
374,29.25
375,51.65
376,29.70
377,51.70
378,36.20
379,29.70
380,53.40
381,45.65
382,45.70
383,57.05
384,60.15
385,43.15
386,54.70
387,43.25
388,26.35
389,33.10
390,57.40
391,40.00
392,48.60
393,54.65
394,41.55
395,0.95
396,47.40
397,13.85
398,13.65
399,45.10
400,62.00
401,57.50
402,62.05
403,62.65
404,22.45
405,51.10
406,30.55
407,50.10
408,46.00
409,51.80
410,43.25
411,63.60
412,14.45
413,58.20
414,54.65
415,66.35
416,55.70
417,59.85
418,36.85
419,61.45
420,49.30
421,39.00
422,39.80
423,54.60
424,25.70
425,76.85
426,54.65
427,56.80
428,76.60
429,50.35
430,33.65
431,34.40
432,46.60
433,56.70
434,27.40
435,44.30
436,51.40
437,66.85
438,56.50
439,47.60
440,30.70
441,42.75
442,48.80
443,52.90
444,41.90
445,27.15
446,43.80
447,54.65
448,52.70
449,64.40
450,59.85
451,59.75
452,75.25
453,61.65
454,42.80
455,33.35
456,56.35
457,63.15
458,66.50
459,51.50
460,64.00
461,71.55
462,63.85
463,61.65
464,48.70
465,40.00
466,54.95
467,71.35
468,42.75
469,57.90
470,43.65
471,33.65
472,51.80
473,43.35
474,71.55
475,30.25
476,53.15
477,61.10
478,41.95
479,59.45
480,46.70
481,31.95
482,42.05
483,35.50
484,25.45
485,40.70
486,61.75
487,64.75
488,33.90
489,40.25
490,11.75
491,48.20
492,29.05
493,31.55
494,50.80
495,37.15
496,34.70
497,10.15
498,67.50
499,53.50
500,20.05
501,37.10
502,58.15
503,50.90
504,51.85
505,7.80
506,28.05
507,51.35
508,29.40
509,56.35
510,56.20
511,53.45
512,58.20
513,53.15
514,53.55
515,53.30
516,51.05
517,65.70
518,53.55
519,63.25
520,50.65
521,61.75
522,44.35
523,72.60
524,59.75
525,54.35
526,58.75
527,30.65
528,38.25
529,56.15
530,52.05
531,58.30
532,62.75
533,60.15
534,18.95
535,44.90
536,65.60
537,43.85
538,55.95
539,54.00
540,54.90
541,58.20
542,50.65
543,54.20
544,55.80
545,53.10
546,62.65
547,31.35
548,66.20
549,46.85
550,52.55
551,53.35
552,58.40
553,53.10
554,31.55
555,57.30
556,57.60
557,65.65
558,35.10
559,52.90
560,51.15
561,55.20
562,53.75
563,59.55
564,42.75
565,72.35
566,32.95
567,32.80
568,43.60
569,49.25
570,61.75
571,53.90
572,8.65
573,22.65
574,42.35
575,57.75
576,57.05
577,49.15
578,80.65
579,57.80
580,29.35
581,56.30
582,62.60
583,51.35
584,67.00
585,45.05
586,61.25
587,26.05
588,44.20
589,55.15
590,49.75
591,75.45
592,14.70
593,54.60
594,60.30
595,55.85
596,64.35
597,60.95
598,16.90
599,50.25
600,36.40
601,55.05
602,47.35
603,33.80
604,51.45
605,38.25
606,58.60
607,46.80
608,67.85
609,50.50
610,50.45
611,37.35
612,34.90
613,32.45
614,65.70
615,34.90
616,63.75
617,50.75
618,27.15
619,48.50
620,45.30
621,52.35
622,64.45
623,46.40
624,49.80
625,61.00
626,48.85
627,56.50
628,60.75
629,69.10
630,39.35
631,47.20
632,53.10
633,39.55
634,36.00
635,28.05
636,27.65
637,53.35
638,5.50
639,62.35
640,49.35
641,73.45
642,63.05
643,38.10
644,48.05
645,27.75
646,64.75
647,64.75
648,71.75
649,56.10
650,63.25
651,41.70
652,33.45
653,67.55
654,53.65
655,54.95
656,53.35
657,35.10
658,0.80
659,62.55
660,58.30
661,35.70
662,28.40
663,53.20
664,55.90
665,54.55
666,54.05
667,62.70
668,43.30
669,70.20
670,24.05
671,77.60
672,49.20
673,43.75
674,68.70
675,63.65
676,29.00
677,48.50
678,41.00
679,68.15
680,5.60
681,36.50
682,51.55
683,51.65
684,9.70
685,53.90
686,52.25
687,68.45
688,58.65
689,53.45
690,76.80
691,38.30
692,55.35
693,42.45
694,59.45
695,52.35
696,32.10
697,42.60
698,48.25
699,43.25
700,34.70
701,56.05
702,41.90
703,48.20
704,52.75
705,43.05
706,10.85
707,56.65
708,40.35
709,56.00
710,52.20
711,35.65
712,49.75
713,53.65
714,28.15
715,49.80
716,42.85
717,32.85
718,46.90
719,54.30
720,34.35
721,51.25
722,55.30
723,28.80
724,54.40
725,41.35
726,19.55
727,30.45
728,8.50
729,42.60
730,8.30
731,34.20
732,59.05
733,25.00
734,48.80
735,25.65
736,17.55
737,30.95
738,33.10
739,12.15
740,41.75
741,61.10
742,40.70
743,29.05
744,56.55
745,55.55
746,58.15
747,31.45
748,59.55
749,59.10
750,9.40
751,27.80
752,39.00
753,37.20
754,41.70
755,53.75
756,27.75
757,11.65
758,27.95
759,31.45
760,57.90
761,25.00
762,29.40
763,20.30
764,44.95
765,22.05
766,70.10
767,30.10
768,42.85
769,34.75
770,17.15
771,18.85
772,51.25
773,22.70
774,52.45
775,51.85
776,68.95
777,46.90
778,53.50
779,29.80
780,60.65
781,20.00
782,57.65
783,53.95
784,54.00
785,43.20
786,4.65
787,28.35
788,52.05
789,38.50
790,12.25
791,29.10
792,50.95
793,31.25
794,51.00
795,33.50
796,29.85
797,5.70
798,37.95
799,33.40
800,55.70
801,57.90
802,31.75
803,36.85
