episode,total_reward
1,31
2,27
3,25
4,25
5,33
6,29
7,19
8,25
9,27
10,26
11,32
12,25
13,27
14,24
15,28
16,31
17,24
18,26
19,29
20,35
21,25
22,28
23,23
24,28
25,31
26,22
27,32
28,24
29,35
30,27
31,30
32,29
33,30
34,20
35,26
36,29
37,28
38,41
39,25
40,37
41,28
42,24
43,28
44,24
45,37
46,29
47,24
48,24
49,17
50,27
51,29
52,23
53,32
54,23
55,27
56,39
57,32
58,27
59,20
60,27
61,27
62,25
63,24
64,19
65,31
66,26
67,31
68,38
69,29
70,34
71,34
72,25
73,30
74,30
75,28
76,26
77,32
78,40
79,26
80,22
81,17
82,21
83,28
84,28
85,20
86,23
87,25
88,36
89,39
90,22
91,24
92,29
93,29
94,20
95,29
96,14
97,31
98,35
99,15
100,31
101,17
102,17
103,29
104,30
105,33
106,27
107,27
108,27
109,25
110,24
111,34
112,16
113,23
114,26
115,26
116,18
117,27
118,25
119,33
120,29
121,19
122,31
123,22
124,22
125,41
126,30
127,35
128,25
129,27
130,22
131,20
132,29
133,33
134,38
135,14
136,23
137,26
138,18
139,20
140,34
141,28
142,15
143,25
144,26
145,39
146,29
147,20
148,4
149,19
150,34
151,26
152,21
153,32
154,31
155,23
156,27
157,14
158,26
159,23
160,23
161,10
162,14
163,21
164,20
165,11
166,31
167,17
168,29
169,14
170,23
171,31
172,23
173,32
174,19
175,16
176,5
177,19
178,22
179,21
180,23
181,24
182,26
183,36
184,18
185,30
186,41
187,21
188,10
189,25
190,33
191,36
192,16
193,14
194,26
195,19
196,19
197,19
198,16
199,13
200,41
201,19
202,18
203,29
204,19
205,28
206,19
207,24
208,37
209,22
210,11
211,30
212,25
213,40
214,22
215,29
216,9
217,26
218,25
219,14
220,3
221,23
222,33
223,14
224,27
225,13
226,40
227,19
228,35
229,35
230,34
231,40
232,27
233,23
234,23
235,25
236,28
237,24
238,33
239,33
240,13
241,19
242,12
243,18
244,12
245,25
246,20
247,18
248,16
249,27
250,15
251,18
252,15
253,23
254,22
255,19
256,25
257,18
258,2
259,35
260,23
261,21
262,12
263,37
264,17
265,27
266,19
267,17
268,20
269,18
270,38
271,20
272,21
273,32
274,14
275,19
276,23
277,26
278,23
279,34
280,7
281,39
282,32
283,36
284,7
285,18
286,15
287,19
288,35
289,15
290,14
291,31
292,1
293,21
294,25
295,18
296,13
297,25
298,20
299,20
300,15
301,31
302,27
303,16
304,20
305,23
306,16
307,16
308,36
309,50
310,25
311,36
312,16
313,23
314,12
315,21
316,6
317,24
318,32
319,26
320,7
321,30
322,19
323,4
324,38
325,18
326,1
327,33
328,22
329,17
330,22
331,36
332,13
333,4
334,24
335,31
336,19
337,22
338,27
339,8
340,10
341,21
342,5
343,32
344,33
345,31
346,30
347,13
348,37
349,21
350,28
351,28
352,7
353,27
354,33
355,34
356,18
357,24
358,37
359,11
360,11
361,23
362,37
363,28
364,18
365,38
366,9
367,16
368,25
369,14
370,24
371,0
372,28
373,27
374,29
375,21
376,38
377,17
378,34
379,32
380,18
381,28
382,28
383,21
384,40
385,20
386,7
387,36
388,12
389,20
390,23
391,10
392,26
393,32
394,6
395,39
396,16
397,30
398,38
399,0
400,27
401,6
402,41
403,38
404,41
405,15
406,24
407,35
408,39
409,36
410,37
411,8
412,14
413,24
414,2
415,13
416,13
417,35
418,11
419,34
420,21
421,36
422,42
423,43
424,37
425,28
426,44
427,26
428,21
429,7
430,14
431,34
432,13
433,34
434,10
435,38
436,28
437,18
438,31
439,18
440,12
441,19
442,22
443,24
444,45
445,41
446,38
447,27
448,16
449,17
450,31
451,29
452,13
453,33
454,26
455,15
456,4
457,42
458,15
459,29
460,24
461,37
462,13
463,17
464,21
465,35
466,9
467,8
468,18
469,29
470,31
471,9
472,18
473,25
474,26
475,19
476,34
477,27
478,12
479,39
480,30
481,15
482,11
483,22
484,26
485,16
486,7
487,3
488,10
489,20
490,24
491,39
492,2
493,13
494,28
495,10
496,25
497,10
498,0
499,3
500,10
501,27
502,17
503,6
504,9
505,12
506,8
507,6
508,15
509,18
510,25
511,6
512,5
513,21
514,14
515,36
516,6
517,23
518,26
519,43
520,24
521,5
522,6
523,30
524,1
525,43
526,13
527,18
528,14
529,2
530,7
531,13
532,29
533,14
534,28
535,20
536,16
537,11
538,32
539,23
540,20
541,14
542,20
543,9
544,8
545,1
546,29
547,20
548,4
549,38
550,25
551,25
552,16
553,17
554,18
555,15
556,23
557,30
558,25
559,28
560,4
561,21
562,35
563,30
564,16
565,4
566,38
567,18
568,24
569,42
570,10
571,19
572,39
573,12
574,17
575,14
576,29
577,6
578,17
579,12
