Episode,TotalReward
1,23
2,19
3,21
4,23
5,24
6,24
7,24
8,22
9,22
10,25
11,24
12,21
13,21
14,20
15,22
16,23
17,22
18,25
19,24
20,27
21,22
22,25
23,24
24,25
25,29
26,25
27,23
28,16
29,21
30,26
31,24
32,22
33,20
34,23
35,17
36,19
37,23
38,23
39,21
40,22
41,25
42,24
43,19
44,20
45,23
46,22
47,23
48,24
49,24
50,26
51,23
52,21
53,22
54,25
55,24
56,21
57,24
58,23
59,22
60,25
61,22
62,23
63,23
64,23
65,21
66,22
67,23
68,22
69,21
70,22
71,21
72,25
73,19
74,21
75,22
76,21
77,21
78,20
79,23
80,23
81,24
82,26
83,24
84,23
85,20
86,22
87,23
88,24
89,24
90,23
91,23
92,22
93,23
94,22
95,22
96,21
97,22
98,24
99,20
100,22
101,21
102,22
103,25
104,21
105,24
106,24
107,21
108,22
109,26
110,21
111,25
112,22
113,26
114,20
115,23
116,27
117,24
118,24
119,19
120,23
121,25
122,22
123,22
124,22
125,24
126,20
127,22
128,22
129,24
130,21
131,28
132,24
133,24
134,22
135,24
136,24
137,23
138,24
139,26
140,25
141,23
142,23
143,26
144,25
145,25
146,23
147,21
148,22
149,22
150,25
151,19
152,23
153,22
154,20
155,22
156,20
157,24
158,23
159,24
160,26
161,25
162,22
163,24
164,23
165,22
166,23
167,22
168,21
169,21
170,23
171,24
172,22
173,24
174,21
175,24
176,25
177,22
178,27
179,23
180,26
181,26
182,20
183,21
184,24
185,23
186,21
187,24
188,23
189,19
190,22
191,21
192,24
193,25
194,23
195,23
196,21
197,24
198,21
199,23
200,21
201,23
202,24
203,19
204,22
205,20
206,24
207,23
208,25
209,24
210,18
211,26
212,23
213,20
214,22
215,26
216,22
217,22
218,23
219,25
220,23
221,19
222,20
223,23
224,21
225,22
226,24
227,22
228,21
229,22
230,22
231,23
232,24
233,24
234,21
235,20
236,17
237,22
238,25
239,21
240,24
241,18
242,21
243,24
244,19
245,24
246,22
247,23
248,13
249,23
250,20
251,22
252,20
253,19
254,21
255,23
256,20
257,24
258,23
259,21
260,22
261,23
262,22
263,20
264,22
265,16
266,20
267,27
268,19
269,24
270,17
271,23
272,21
273,20
274,23
275,13
276,15
277,21
278,25
279,21
280,24
281,24
282,16
283,21
284,23
285,20
286,12
287,24
288,23
289,24
290,27
291,23
292,27
293,27
294,23
295,24
296,26
297,24
298,21
299,22
300,24
301,23
302,22
303,25
304,23
305,24
306,23
307,25
308,2
309,16
310,16
311,21
312,20
313,13
314,22
315,9
316,23
317,21
318,23
319,23
320,20
321,20
322,23
323,23
324,23
325,22
326,23
327,24
328,24
329,23
330,26
331,22
332,22
333,24
334,23
335,14
336,23
337,24
338,23
339,26
340,22
341,22
342,24
343,22
344,24
345,26
346,22
347,22
348,22
349,22
350,22
351,25
352,25
353,18
354,22
355,22
356,23
357,21
358,21
359,21
360,21
361,24
362,24
363,19
364,24
365,23
366,21
367,24
368,26
369,21
370,24
371,21
372,23
373,25
374,26
375,24
376,25
377,24
378,24
379,21
380,24
381,28
382,24
383,24
384,19
385,22
386,18
387,23
388,21
389,21
390,25
391,22
392,24
393,22
394,24
395,24
396,20
397,24
398,24
399,21
400,24
401,22
402,22
403,21
404,23
405,27
406,25
407,22
408,26
409,24
410,25
411,22
412,26
413,23
414,24
415,23
416,22
417,23
418,23
419,23
420,21
421,23
422,25
423,24
424,24
425,24
426,23
427,27
428,21
429,26
430,22
431,22
432,24
433,25
434,25
435,26
436,23
437,28
438,24
439,25
440,25
441,22
442,26
443,21
444,24
445,24
446,23
447,27
448,25
449,25
450,23
451,27
452,21
453,21
454,24
455,23
456,23
457,22
458,24
459,28
460,23
461,22
462,23
463,22
464,23
465,21
466,25
467,23
468,21
469,23
470,25
471,21
472,24
473,26
474,23
475,22
476,26
477,22
478,23
479,24
480,26
481,23
482,26
483,24
484,23
485,22
486,24
487,23
488,26
489,27
490,29
491,26
492,24
493,24
494,25
495,25
496,24
497,23
498,23
499,25
500,26
501,25
502,29
503,25
504,25
505,24
506,26
507,26
508,23
509,24
510,25
511,24
512,23
513,24
514,26
515,22
516,24
517,21
518,25
519,26
520,25
521,25
522,24
523,21
524,20
525,21
526,23
527,22
528,23
529,24
530,25
531,26
532,25
533,25
534,25
535,25
536,21
537,22
538,25
539,23
540,28
541,24
542,24
543,25
544,23
545,23
546,23
547,25
548,23
549,26
550,22
551,25
552,22
553,26
554,25
555,25
556,24
557,27
558,23
559,26
560,23
561,21
562,27
563,23
564,24
565,27
566,17
567,23
568,23
569,25
570,21
571,21
572,23
573,21
574,25
575,26
576,23
577,24
578,21
579,26
580,21
581,23
582,26
583,25
584,24
585,24
586,25
587,23
588,27
589,25
590,25
591,26
592,20
593,22
594,24
595,22
596,25
597,24
598,22
599,26
600,26
601,25
602,24
603,26
604,22
605,22
606,24
607,21
608,23
609,26
610,24
611,23
612,22
613,22
614,24
615,22
616,25
617,23
618,23
619,26
620,23
621,26
622,22
623,24
624,24
625,23
626,23
627,21
628,25
629,23
630,23
631,24
632,22
633,21
634,23
635,23
636,21
637,22
638,25
639,24
640,22
641,24
642,24
643,20
644,20
645,23
646,23
647,22
648,24
649,26
650,23
651,24
652,27
653,23
654,23
655,25
656,22
657,21
658,25
659,23
660,22
661,23
662,24
663,19
664,22
665,24
666,25
667,25
668,23
669,20
670,22
671,23
672,22
673,22
674,22
675,20
676,22
677,14
678,22
679,23
680,21
681,24
682,24
683,23
684,25
685,21
686,22
687,24
688,30
689,25
690,21
691,20
692,21
693,25
694,26
695,27
696,22
697,21
698,24
699,24
700,25
701,26
702,22
703,21
704,22
705,28
706,24
707,24
708,26
709,21
710,21
711,25
712,22
713,22
714,20
715,21
716,24
717,25
718,26
719,19
720,24
721,26
722,21
723,29
724,24
725,23
726,23
727,25
728,23
729,26
730,25
731,22
732,24
733,22
734,26
735,25
736,26
737,25
738,23
739,24
740,19
741,23
742,24
743,26
744,25
745,25
746,22
747,24
748,21
749,23
750,24
751,22
752,21
753,22
754,21
755,20
756,22
757,21
758,22
759,20
760,21
761,23
762,24
763,25
764,19
765,27
766,21
767,21
768,20
769,24
770,26
771,22
772,23
773,25
774,20
775,25
776,24
777,23
778,22
779,23
780,26
781,22
782,24
783,26
784,24
785,23
786,26
787,23
788,22
789,25
790,27
791,24
792,24
793,22
794,22
795,22
796,29
797,27
798,25
799,25
800,25
801,26
802,22
803,18
804,24
805,25
806,22
807,25
808,23
809,23
810,23
811,20
812,24
813,28
814,25
