episode,total_reward
1,30.0
2,22.0
3,19.0
4,29.0
5,18.0
6,34.0
7,31.0
8,26.0
9,20.0
10,20.0
11,23.0
12,20.0
13,26.0
14,26.0
15,26.0
16,26.0
17,22.0
18,21.0
19,30.0
20,20.0
21,18.0
22,23.0
23,28.0
24,24.0
25,21.0
26,22.0
27,22.0
28,20.0
29,23.0
30,28.0
31,19.0
32,37.0
33,28.0
34,29.0
35,29.0
36,35.0
37,32.0
38,23.0
39,19.0
40,29.0
41,19.0
42,24.0
43,28.0
44,25.0
45,30.0
46,31.0
47,24.0
48,25.0
49,23.0
50,34.0
51,23.0
52,28.0
53,32.0
54,33.0
55,34.0
56,27.0
57,34.0
58,31.0
59,31.0
60,27.0
61,27.0
62,31.0
63,24.0
64,29.0
65,27.0
66,30.0
67,29.0
68,18.0
69,31.0
70,30.0
71,30.0
72,18.0
73,37.0
74,23.0
75,18.0
76,19.0
77,32.0
78,27.0
79,26.0
80,33.0
81,27.0
82,23.0
83,26.0
84,33.0
85,29.0
86,29.0
87,28.0
88,21.0
89,20.0
90,28.0
91,25.0
92,18.0
93,23.0
94,29.0
95,29.0
96,25.0
97,30.0
98,28.0
99,27.0
100,25.0
101,22.0
102,28.0
103,24.0
104,27.0
105,32.0
106,29.0
107,28.0
108,23.0
109,27.0
110,34.0
111,18.0
112,30.0
113,22.0
114,23.0
115,31.0
116,37.0
117,18.0
118,21.0
119,28.0
120,32.0
121,30.0
122,19.0
123,35.0
124,22.0
125,30.0
126,26.0
127,26.0
128,26.0
129,24.0
130,24.0
131,21.0
132,36.0
133,30.0
134,24.0
135,28.0
136,23.0
137,36.0
138,29.0
139,31.0
140,37.0
141,34.0
142,28.0
143,25.0
144,27.0
145,28.0
146,38.0
147,34.0
148,28.0
149,32.0
150,33.0
151,32.0
152,30.0
153,38.0
154,37.0
155,29.0
156,27.0
157,30.0
158,32.0
159,32.0
160,31.0
161,29.0
162,24.0
163,34.0
164,35.0
165,34.0
166,35.0
167,35.0
168,39.0
169,25.0
170,24.0
171,36.0
172,38.0
173,30.0
174,37.0
175,39.0
176,44.0
177,41.0
178,33.0
179,37.0
180,42.0
181,35.0
182,31.0
183,42.0
184,26.0
185,39.0
186,38.0
187,42.0
188,37.0
189,43.0
190,41.0
191,32.0
192,41.0
193,29.0
194,39.0
195,40.0
196,33.0
197,34.0
198,37.0
199,41.0
200,39.0
201,29.0
202,35.0
203,32.0
204,38.0
205,36.0
206,31.0
207,32.0
208,32.0
209,37.0
210,31.0
211,37.0
212,29.0
213,37.0
214,36.0
215,33.0
216,40.0
217,31.0
218,30.0
219,30.0
220,33.0
221,32.0
222,37.0
223,41.0
224,32.0
225,32.0
226,36.0
227,42.0
228,38.0
229,36.0
230,35.0
231,32.0
232,33.0
233,34.0
234,32.0
235,40.0
236,33.0
237,30.0
238,37.0
239,37.0
240,31.0
241,35.0
242,35.0
243,41.0
244,34.0
245,26.0
246,33.0
247,35.0
248,30.0
249,30.0
250,26.0
251,35.0
252,29.0
253,23.0
254,22.0
255,29.0
256,23.0
257,26.0
258,27.0
259,30.0
260,33.0
261,26.0
262,31.0
263,27.0
264,24.0
265,36.0
266,29.0
267,31.0
268,28.0
269,20.0
270,28.0
271,29.0
272,25.0
273,24.0
274,27.0
275,33.0
276,25.0
277,30.0
278,27.0
279,36.0
280,29.0
281,26.0
282,25.0
283,29.0
284,22.0
285,29.0
286,21.0
287,34.0
288,28.0
289,19.0
290,24.0
291,35.0
292,37.0
293,27.0
294,40.0
295,27.0
296,39.0
297,26.0
298,24.0
299,30.0
300,29.0
301,24.0
302,31.0
303,35.0
304,30.0
305,34.0
306,33.0
307,30.0
308,30.0
309,26.0
310,31.0
311,36.0
312,37.0
313,29.0
314,28.0
315,28.0
316,27.0
317,34.0
318,27.0
319,37.0
320,41.0
321,39.0
322,37.0
323,23.0
324,27.0
325,27.0
326,34.0
327,33.0
328,27.0
329,24.0
330,35.0
331,31.0
332,26.0
333,31.0
334,37.0
335,27.0
336,26.0
337,39.0
338,30.0
339,27.0
340,25.0
341,29.0
342,30.0
343,41.0
344,39.0
345,25.0
346,38.0
347,37.0
348,30.0
349,39.0
350,34.0
351,34.0
352,29.0
353,30.0
354,31.0
355,28.0
356,34.0
357,38.0
358,35.0
359,42.0
360,27.0
361,29.0
362,44.0
363,26.0
364,38.0
365,41.0
366,41.0
367,38.0
368,41.0
369,37.0
370,37.0
371,30.0
372,26.0
373,40.0
374,38.0
375,43.0
376,40.0
377,42.0
378,25.0
379,37.0
380,38.0
381,44.0
382,39.0
383,40.0
384,33.0
385,35.0
386,46.0
387,37.0
388,33.0
389,32.0
390,44.0
391,38.0
392,37.0
393,33.0
394,40.0
395,39.0
396,44.0
397,37.0
398,41.0
399,43.0
400,40.0
401,33.0
402,36.0
403,38.0
404,39.0
405,34.0
406,45.0
407,42.0
408,39.0
409,38.0
410,41.0
411,38.0
412,47.0
413,37.0
414,38.0
415,36.0
416,37.0
417,39.0
418,36.0
419,29.0
420,43.0
421,33.0
422,40.0
423,37.0
424,35.0
425,37.0
426,36.0
427,43.0
428,32.0
429,45.0
430,43.0
431,45.0
432,36.0
433,40.0
434,33.0
435,35.0
436,29.0
437,35.0
438,36.0
439,31.0
440,46.0
441,34.0
442,42.0
443,37.0
444,46.0
445,39.0
446,46.0
447,45.0
448,43.0
449,35.0
450,43.0
451,40.0
452,35.0
453,40.0
454,39.0
455,35.0
456,39.0
457,37.0
458,31.0
459,40.0
460,38.0
461,41.0
462,41.0
463,34.0
464,41.0
465,34.0
466,35.0
467,43.0
468,42.0
469,30.0
470,39.0
471,40.0
472,30.0
473,38.0
474,35.0
475,41.0
476,37.0
477,35.0
478,40.0
479,38.0
480,32.0
481,34.0
482,45.0
483,38.0
484,34.0
485,34.0
486,48.0
487,43.0
488,42.0
489,38.0
490,41.0
491,41.0
492,34.0
493,35.0
494,33.0
495,37.0
496,36.0
497,41.0
498,38.0
499,40.0
500,37.0
501,40.0
502,35.0
503,36.0
504,37.0
505,48.0
506,44.0
507,41.0
508,31.0
509,43.0
510,37.0
511,34.0
512,31.0
513,50.0
514,39.0
515,36.0
516,44.0
517,41.0
518,34.0
519,35.0
520,31.0
521,29.0
522,32.0
523,30.0
524,45.0
525,35.0
526,34.0
527,47.0
528,39.0
529,31.0
530,38.0
531,32.0
532,44.0
533,36.0
534,39.0
535,25.0
536,38.0
537,28.0
538,36.0
539,45.0
540,34.0
541,33.0
542,42.0
543,31.0
544,39.0
545,34.0
546,34.0
547,47.0
548,34.0
549,46.0
550,38.0
551,34.0
552,37.0
553,33.0
554,41.0
555,36.0
556,49.0
557,47.0
558,37.0
559,37.0
560,31.0
561,44.0
562,33.0
563,31.0
564,31.0
565,41.0
566,47.0
567,44.0
568,39.0
569,36.0
570,32.0
571,50.0
572,51.0
573,28.0
574,41.0
575,30.0
576,42.0
577,42.0
578,35.0
579,33.0
580,33.0
581,37.0
582,43.0
583,47.0
584,33.0
585,33.0
586,36.0
587,44.0
588,46.0
589,38.0
590,25.0
591,34.0
592,39.0
593,33.0
594,37.0
595,41.0
596,38.0
597,43.0
598,40.0
599,32.0
600,31.0
601,35.0
602,38.0
603,41.0
604,32.0
605,31.0
606,41.0
607,34.0
608,35.0
609,42.0
610,32.0
611,37.0
612,32.0
613,38.0
614,26.0
615,36.0
616,41.0
617,39.0
618,40.0
619,35.0
620,42.0
621,36.0
622,36.0
623,41.0
624,42.0
625,37.0
626,43.0
627,36.0
628,38.0
629,34.0
630,41.0
631,40.0
632,35.0
633,31.0
634,34.0
635,43.0
636,39.0
637,36.0
638,35.0
639,32.0
640,40.0
641,43.0
642,31.0
643,40.0
644,31.0
645,52.0
646,36.0
647,42.0
648,37.0
649,31.0
650,34.0
651,43.0
652,40.0
653,41.0
654,31.0
655,26.0
656,41.0
657,39.0
658,41.0
659,43.0
660,43.0
661,37.0
662,37.0
663,31.0
664,40.0
665,29.0
666,38.0
667,41.0
668,44.0
669,35.0
670,46.0
671,49.0
672,37.0
673,32.0
674,26.0
675,43.0
676,32.0
677,38.0
678,35.0
679,46.0
680,37.0
681,38.0
682,35.0
683,34.0
684,41.0
685,42.0
686,43.0
687,41.0
688,50.0
689,44.0
690,36.0
691,43.0
692,43.0
693,32.0
694,37.0
695,39.0
696,35.0
697,31.0
698,32.0
699,31.0
700,45.0
701,44.0
702,34.0
703,40.0
704,35.0
705,32.0
706,40.0
707,36.0
708,49.0
709,35.0
710,39.0
711,37.0
712,32.0
713,40.0
714,36.0
715,33.0
716,37.0
717,36.0
718,37.0
719,36.0
720,38.0
721,35.0
722,38.0
723,22.0
724,47.0
725,36.0
726,34.0
727,32.0
728,40.0
729,35.0
730,41.0
731,37.0
732,43.0
733,47.0
734,38.0
735,39.0
736,35.0
737,30.0
738,44.0
739,32.0
740,32.0
741,27.0
742,40.0
743,37.0
744,44.0
745,45.0
746,37.0
747,42.0
748,34.0
749,34.0
750,38.0
751,34.0
752,37.0
753,36.0
754,42.0
755,36.0
756,33.0
757,37.0
758,31.0
759,51.0
760,38.0
761,40.0
762,28.0
763,36.0
764,30.0
765,38.0
766,41.0
767,39.0
768,44.0
769,34.0
770,34.0
771,37.0
772,40.0
773,38.0
774,39.0
775,37.0
776,44.0
777,29.0
778,34.0
779,40.0
780,42.0
781,38.0
782,36.0
783,36.0
784,32.0
785,37.0
786,34.0
787,41.0
788,46.0
789,35.0
790,37.0
791,26.0
792,40.0
793,43.0
794,47.0
795,38.0
796,35.0
797,32.0
798,39.0
799,38.0
800,40.0
801,37.0
802,39.0
803,26.0
804,35.0
805,42.0
806,41.0
807,40.0
808,36.0
809,40.0
810,33.0
811,37.0
812,38.0
813,35.0
814,39.0
815,40.0
816,40.0
817,27.0
818,37.0
819,34.0
820,41.0
821,39.0
822,36.0
823,34.0
824,36.0
825,43.0
826,37.0
827,44.0
828,41.0
829,31.0
830,44.0
831,38.0
832,33.0
833,44.0
834,31.0
835,37.0
836,41.0
837,38.0
838,36.0
839,30.0
840,43.0
841,33.0
842,38.0
843,39.0
844,39.0
845,36.0
846,33.0
847,41.0
848,45.0
849,39.0
850,38.0
851,30.0
852,38.0
853,44.0
854,32.0
855,33.0
856,51.0
857,36.0
858,36.0
859,43.0
860,36.0
861,30.0
862,36.0
863,44.0
864,44.0
865,29.0
866,38.0
867,42.0
868,39.0
869,38.0
870,45.0
871,42.0
872,37.0
873,36.0
874,44.0
875,50.0
876,38.0
877,41.0
878,34.0
879,36.0
880,41.0
881,30.0
882,37.0
883,35.0
884,40.0
885,47.0
886,35.0
887,39.0
888,35.0
889,34.0
890,37.0
891,39.0
892,45.0
893,41.0
894,34.0
